ts,lat,lng,dt_s,dist_m,implied_speed_kmh,is_stale,stale_run,real_gap_s
1773218922000,64.13952205,-21.8181651666667,0.0,0.0,0.0,true,1,0
1773218928000,64.1383719833333,-21.8165951666667,6.0,148.8,89.3,false,1,6.0
1773218930000,64.1383719833333,-21.8165951666667,2.0,0.0,0.0,true,1,0
1773218934000,64.1383719833333,-21.8165951666667,4.0,0.0,0.0,true,2,0
1773218934000,64.1383719833333,-21.8165951666667,0.0,0.0,0.0,true,3,0
1773218936000,64.1383719833333,-21.8165951666667,2.0,0.0,0.0,true,4,0
1773218939000,64.1383719833333,-21.8165951666667,3.0,0.0,0.0,true,5,0
1773218941000,64.1383719833333,-21.8165951666667,2.0,0.0,0.0,true,6,0
1773218941000,64.1383719833333,-21.8165951666667,0.0,0.0,0.0,true,7,0
1773218943000,64.1383719833333,-21.8165951666667,2.0,0.0,0.0,true,8,0
1773218947000,64.1383719833333,-21.8165951666667,4.0,0.0,0.0,true,9,0
1773218949000,64.1369645833333,-21.8128256666667,2.0,240.7,433.2,false,9,21.0
1773218949000,64.1369645833333,-21.8128256666667,0.0,0.0,0.0,true,1,0
1773218951000,64.1369645833333,-21.8128256666667,2.0,0.0,0.0,true,2,0
1773218954000,64.1369645833333,-21.8128256666667,3.0,0.0,0.0,true,3,0
1773218954000,64.1369645833333,-21.8128256666667,0.0,0.0,0.0,true,4,0
1773218956000,64.1369645833333,-21.8128256666667,2.0,0.0,0.0,true,5,0
1773218959000,64.1369645833333,-21.8128256666667,3.0,0.0,0.0,true,6,0
1773218959000,64.1369645833333,-21.8128256666667,0.0,0.0,0.0,true,7,0
1773218961000,64.1369645833333,-21.8128256666667,2.0,0.0,0.0,true,8,0
1773218965000,64.1369645833333,-21.8128256666667,4.0,0.0,0.0,true,9,0
1773218965000,64.1369645833333,-21.8128256666667,0.0,0.0,0.0,true,10,0
1773218969000,64.1369645833333,-21.8128256666667,4.0,0.0,0.0,true,11,0
1773218973000,64.1369645833333,-21.8128256666667,4.0,0.0,0.0,true,12,0
1773218973000,64.1369645833333,-21.8128256666667,0.0,0.0,0.0,true,13,0
1773218975000,64.1369645833333,-21.8128256666667,2.0,0.0,0.0,true,14,0
1773218978000,64.1369029333333,-21.8105653333333,3.0,109.9,131.8,false,14,29.0
1773218978000,64.1369029333333,-21.8105653333333,0.0,0.0,0.0,true,1,0
1773218982000,64.1369029333333,-21.8105653333333,4.0,0.0,0.0,true,2,0
1773218985000,64.1369029333333,-21.8105653333333,3.0,0.0,0.0,true,3,0
1773218985000,64.1369029333333,-21.8105653333333,0.0,0.0,0.0,true,4,0
1773218985000,64.1369029333333,-21.8105653333333,0.0,0.0,0.0,true,5,0
1773218990000,64.1369029333333,-21.8105653333333,5.0,0.0,0.0,true,6,0
1773218990000,64.1369029333333,-21.8105653333333,0.0,0.0,0.0,true,7,0
1773218994000,64.1369029333333,-21.8105653333333,4.0,0.0,0.0,true,8,0
1773218994000,64.1369029333333,-21.8105653333333,0.0,0.0,0.0,true,9,0
1773218999000,64.1369029333333,-21.8105653333333,5.0,0.0,0.0,true,10,0
1773219001000,64.1369029333333,-21.8105653333333,2.0,0.0,0.0,true,11,0
1773219001000,64.1369029333333,-21.8105653333333,0.0,0.0,0.0,true,12,0
1773219003000,64.1369029333333,-21.8105653333333,2.0,0.0,0.0,true,13,0
1773219013000,64.1369029333333,-21.8105653333333,10.0,0.0,0.0,true,14,0
1773219013000,64.1369029333333,-21.8105653333333,0.0,0.0,0.0,true,15,0
1773219013000,64.1369029333333,-21.8105653333333,0.0,0.0,0.0,true,16,0
1773219013000,64.1369029333333,-21.8105653333333,0.0,0.0,0.0,true,17,0
1773219020000,64.1369029333333,-21.8105653333333,7.0,0.0,0.0,true,18,0
1773219022000,64.1369029333333,-21.8105653333333,2.0,0.0,0.0,true,19,0
1773219022000,64.1369029333333,-21.8105653333333,0.0,0.0,0.0,true,20,0
1773219026000,64.1369029333333,-21.8105653333333,4.0,0.0,0.0,true,21,0
1773219026000,64.1369029333333,-21.8105653333333,0.0,0.0,0.0,true,22,0
1773219028000,64.1369029333333,-21.8105653333333,2.0,0.0,0.0,true,23,0
1773219032000,64.1369029333333,-21.8105653333333,4.0,0.0,0.0,true,24,0
1773219032000,64.1369029333333,-21.8105653333333,0.0,0.0,0.0,true,25,0
1773219036000,64.1369029333333,-21.8105653333333,4.0,0.0,0.0,true,26,0
1773219038000,64.1369029333333,-21.8105653333333,2.0,0.0,0.0,true,27,0
1773219038000,64.1369029333333,-21.8105653333333,0.0,0.0,0.0,true,28,0
1773219041000,64.1369029333333,-21.8105653333333,3.0,0.0,0.0,true,29,0
1773219044000,64.1369029333333,-21.8105653333333,3.0,0.0,0.0,true,30,0
1773219044000,64.1369029333333,-21.8105653333333,0.0,0.0,0.0,true,31,0
1773219049000,64.1364749,-21.8069765,5.0,180.5,129.9,false,31,71.0
1773219049000,64.1364749,-21.8069765,0.0,0.0,0.0,true,1,0
1773219051000,64.1364749,-21.8069765,2.0,0.0,0.0,true,2,0
1773219054000,64.1364749,-21.8069765,3.0,0.0,0.0,true,3,0
1773219054000,64.1364749,-21.8069765,0.0,0.0,0.0,true,4,0
1773219056000,64.1364749,-21.8069765,2.0,0.0,0.0,true,5,0
1773219059000,64.1364749,-21.8069765,3.0,0.0,0.0,true,6,0
1773219059000,64.1364749,-21.8069765,0.0,0.0,0.0,true,7,0
1773219062000,64.1364749,-21.8069765,3.0,0.0,0.0,true,8,0
1773219067000,64.1364749,-21.8069765,5.0,0.0,0.0,true,9,0
1773219067000,64.1364749,-21.8069765,0.0,0.0,0.0,true,10,0
1773219070000,64.1364749,-21.8069765,3.0,0.0,0.0,true,11,0
1773219070000,64.1364749,-21.8069765,0.0,0.0,0.0,true,12,0
1773219070000,64.1364749,-21.8069765,0.0,0.0,0.0,true,13,0
1773219076000,64.1364749,-21.8069765,6.0,0.0,0.0,true,14,0
1773219079000,64.1364749,-21.8069765,3.0,0.0,0.0,true,15,0
1773219079000,64.1364749,-21.8069765,0.0,0.0,0.0,true,16,0
1773219081000,64.135682,-21.8020761666667,2.0,253.5,456.3,false,16,32.0
1773219084000,64.135682,-21.8020761666667,3.0,0.0,0.0,true,1,0
1773219084000,64.135682,-21.8020761666667,0.0,0.0,0.0,true,2,0
1773219087000,64.135682,-21.8020761666667,3.0,0.0,0.0,true,3,0
1773219087000,64.135682,-21.8020761666667,0.0,0.0,0.0,true,4,0
1773219091000,64.135682,-21.8020761666667,4.0,0.0,0.0,true,5,0
1773219091000,64.135682,-21.8020761666667,0.0,0.0,0.0,true,6,0
1773219095000,64.135682,-21.8020761666667,4.0,0.0,0.0,true,7,0
1773219097000,64.135682,-21.8020761666667,2.0,0.0,0.0,true,8,0
1773219097000,64.135682,-21.8020761666667,0.0,0.0,0.0,true,9,0
1773219100000,64.135682,-21.8020761666667,3.0,0.0,0.0,true,10,0
1773219104000,64.135682,-21.8020761666667,4.0,0.0,0.0,true,11,0
1773219104000,64.135682,-21.8020761666667,0.0,0.0,0.0,true,12,0
1773219110000,64.1347526166667,-21.7980143333333,6.0,222.5,133.5,false,12,29.0
1773219110000,64.1347526166667,-21.7980143333333,0.0,0.0,0.0,true,1,0
1773219110000,64.1347526166667,-21.7980143333333,0.0,0.0,0.0,true,2,0
1773219114000,64.1347526166667,-21.7980143333333,4.0,0.0,0.0,true,3,0
1773219114000,64.1347526166667,-21.7980143333333,0.0,0.0,0.0,true,4,0
1773219116000,64.1347526166667,-21.7980143333333,2.0,0.0,0.0,true,5,0
1773219119000,64.1347526166667,-21.7980143333333,3.0,0.0,0.0,true,6,0
1773219119000,64.1347526166667,-21.7980143333333,0.0,0.0,0.0,true,7,0
1773219123000,64.1347526166667,-21.7980143333333,4.0,0.0,0.0,true,8,0
1773219125000,64.1347526166667,-21.7980143333333,2.0,0.0,0.0,true,9,0
1773219129000,64.1347526166667,-21.7980143333333,4.0,0.0,0.0,true,10,0
1773219131000,64.1347526166667,-21.7980143333333,2.0,0.0,0.0,true,11,0
1773219133000,64.1347526166667,-21.7980143333333,2.0,0.0,0.0,true,12,0
1773219135000,64.1347526166667,-21.7980143333333,2.0,0.0,0.0,true,13,0
1773219135000,64.1347526166667,-21.7980143333333,0.0,0.0,0.0,true,14,0
1773219135000,64.1347526166667,-21.7980143333333,0.0,0.0,0.0,true,15,0
1773219137000,64.1347526166667,-21.7980143333333,2.0,0.0,0.0,true,16,0
1773219143000,64.1347526166667,-21.7980143333333,6.0,0.0,0.0,true,17,0
1773219143000,64.1347526166667,-21.7980143333333,0.0,0.0,0.0,true,18,0
1773219143000,64.1347526166667,-21.7980143333333,0.0,0.0,0.0,true,19,0
1773219148000,64.1347526166667,-21.7980143333333,5.0,0.0,0.0,true,20,0
1773219148000,64.1347526166667,-21.7980143333333,0.0,0.0,0.0,true,21,0
1773219152000,64.1347526166667,-21.7980143333333,4.0,0.0,0.0,true,22,0
1773219152000,64.1347526166667,-21.7980143333333,0.0,0.0,0.0,true,23,0
1773219157000,64.1347526166667,-21.7980143333333,5.0,0.0,0.0,true,24,0
